Domain,Subdomain,Scenario,Definition,Elements,Relations
Physical,Matter and Substances,Material Property Recognition and Interaction,"In this scenario, an #Observer encounters different #Materials and recognizes their #MaterialProperties through #SensoryExamination. The Observer may perform #MaterialTesting to confirm properties and uses this knowledge to predict #MaterialBehavior in various #InteractionContexts.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans categorize materials by observable properties and functional affordances
- **Principle 2:** Universal: hardness/softness, wet/dry distinctions; Cultural: material value systems, traditional vs. modern materials
- **Principle 3:** Connects to Perception domain (sensory input), Cognitive domain (categorization), Physical domain (transformation processes)","- **Observer** (Entity): Person examining and categorizing materials - **Materials** (Entity): Substances with distinct physical and chemical properties - **MaterialProperties** (Quality): Observable characteristics like hardness, texture, temperature, weight - **SensoryExamination** (Event/Process): Using senses to assess material characteristics - **MaterialTesting** (Event/Process): Deliberate actions to verify or discover properties - **MaterialBehavior** (Event/Process): How materials respond to various conditions or forces - **InteractionContexts** (State): Environmental conditions affecting material behavior",
Physical,Matter and Substances,Material Composition and Structure,"In this scenario, a #MaterialAnalyst examines #CompositeSubstances to understand their #ComponentMaterials and #StructuralOrganization. The process involves identifying #MaterialLayers, #MixingPatterns, and #BondingTypes that create the overall #MaterialStructure with specific #FunctionalProperties.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans understand complex materials as combinations of simpler components with emergent properties
- **Principle 2:** Universal: part-whole relationships, layered thinking; Cultural: traditional crafting knowledge vs. scientific analysis
- **Principle 3:** Connects to Cognitive domain (analytical thinking), Cultural domain (traditional knowledge), Representational domain (structural models)",- **MaterialAnalyst** (Entity): Person studying material composition - **CompositeSubstances** (Entity): Materials made from multiple components - **ComponentMaterials** (Entity): Individual substances that make up composites - **StructuralOrganization** (State): Arrangement pattern of components within material - **MaterialLayers** (Entity): Distinct strata or levels within material structure - **MixingPatterns** (State): Distribution patterns of components within mixture - **BondingTypes** (Relation): Types of connections between material components - **MaterialStructure** (State): Overall organization of material composition - **FunctionalProperties** (Quality): Performance characteristics resulting from structure,
Physical,Matter and Substances,Material State and Phase Changes,"In this scenario, an #Agent observes #PhaseMaterials undergoing #StateTransitions due to #EnvironmentalConditions. The process involves #EnergyApplication or #EnergyRemoval that triggers #PhaseChanges, resulting in #NewMaterialStates with different #BehavioralCharacteristics.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans understand materials as having multiple possible states with transformation pathways
- **Principle 2:** Universal: solid/liquid/gas categories, heat effects; Cultural: cooking traditions, seasonal adaptations
- **Principle 3:** Connects to Physical domain (energy, transformation), Temporal domain (change processes), Cognitive domain (cause-effect reasoning)","- **Agent** (Entity): Person observing or causing material state changes - **PhaseMaterials** (Entity): Substances capable of existing in multiple states - **StateTransitions** (Event/Process): Changes between material phases - **EnvironmentalConditions** (State): Temperature, pressure, and other contextual factors - **EnergyApplication** (Event/Process): Addition of heat, pressure, or other energy forms - **EnergyRemoval** (Event/Process): Extraction of heat or energy from material - **PhaseChanges** (Event/Process): Transformation between solid, liquid, gas, or other states - **NewMaterialStates** (State): Resulting material phase after transformation - **BehavioralCharacteristics** (Quality): Properties specific to each material state",
Physical,Motion and Location,Spatial Navigation and Movement Tracking,"In this scenario, a #Navigator observes #MovingObjects in different #SpatialPositions and tracks their #MovementPatterns through #EnvironmentalSpace. The Navigator uses #SpatialCues and #DirectionalInformation to understand #RelativePositions and predict #MovementTrajectories for successful #NavigationPlanning.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans naturally track moving objects and understand spatial relationships through relative positioning and directional orientation
- **Principle 2:** Universal: basic spatial concepts (near/far, left/right, up/down); Cultural: navigation techniques, spatial reference frames
- **Principle 3:** Connects to Cognitive domain (spatial reasoning), Perception domain (visual tracking), Social domain (shared navigation)","- **Navigator** (Entity): Person observing and tracking spatial movement - **MovingObjects** (Entity): Entities that change position over time - **SpatialPositions** (State): Locations of objects within environmental space - **MovementPatterns** (Process): Observable sequences of positional changes - **EnvironmentalSpace** (Entity): Physical context containing spatial relationships - **SpatialCues** (Entity): Environmental markers indicating position and direction - **DirectionalInformation** (Quality): Orientation data (north/south, left/right, forward/back) - **RelativePositions** (Relation): Spatial relationships between objects and reference points - **MovementTrajectories** (State): Predicted or observed paths of motion - **NavigationPlanning** (Process): Strategic thinking about movement through space",
Physical,Motion and Location,Object Positioning and Spatial Arrangement,"In this scenario, an #Organizer places #PhysicalObjects in specific #TargetLocations within #OrganizationalSpace, considering #SpatialConstraints and #PositionalRequirements. The process involves understanding #SpatialRelationships between objects and creating #OptimalArrangements for #FunctionalPurposes.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans understand space as containment and arrangement, with objects fitting into spatial configurations based on size, shape, and function
- **Principle 2:** Universal: container-containment, support relationships; Cultural: organizational preferences, spatial aesthetics
- **Principle 3:** Connects to Cognitive domain (planning), Social domain (shared space usage), Physical domain (object properties)","- **Organizer** (Entity): Person arranging objects in space - **PhysicalObjects** (Entity): Items to be positioned spatially - **TargetLocations** (State): Intended positions for objects - **OrganizationalSpace** (Entity): Area designated for spatial arrangement - **SpatialConstraints** (Quality): Limitations imposed by space dimensions and boundaries - **PositionalRequirements** (Quality): Specifications for object placement - **SpatialRelationships** (Relation): Connections between objects based on proximity, alignment, and containment - **OptimalArrangements** (State): Spatial configurations that best serve intended purposes - **FunctionalPurposes** (Entity): Goals driving spatial organization decisions",
Physical,Motion and Location,Locational Reference and Spatial Description,"In this scenario, a #LocationDescriber provides #SpatialDescriptions of #ReferencePoints and #LandmarkObjects to help others understand #GeographicPositions and #SpatialOrientations. The process uses #LocationalTerms and #DirectionalConcepts to create #NavigationalInstructions and #SpatialMaps.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans create shared spatial understanding through linguistic description and landmark-based reference systems
- **Principle 2:** Universal: landmark recognition, basic directional concepts; Cultural: specific locational terminology, spatial metaphors
- **Principle 3:** Connects to Representational domain (spatial communication), Cultural domain (place-based knowledge), Social domain (shared reference systems)",- **LocationDescriber** (Entity): Person providing spatial information to others - **SpatialDescriptions** (Entity): Verbal or written accounts of spatial relationships - **ReferencePoints** (Entity): Fixed locations used as spatial anchors - **LandmarkObjects** (Entity): Distinctive features used for spatial orientation - **GeographicPositions** (State): Specific locations within larger spatial contexts - **SpatialOrientations** (Quality): Directional relationships relative to reference points - **LocationalTerms** (Entity): Vocabulary used to describe spatial relationships - **DirectionalConcepts** (Entity): Ideas about orientation and spatial direction - **NavigationalInstructions** (Entity): Step-by-step spatial guidance - **SpatialMaps** (Entity): Visual or mental representations of spatial relationships,
Physical,Natural Phenomena,Weather Pattern Recognition and Environmental Response,"In this scenario, an #EnvironmentalObserver detects #WeatherSignals and #AtmosphericConditions that indicate developing #WeatherPatterns. The observer interprets #NaturalIndicators to predict #WeatherChanges and plan appropriate #AdaptiveResponses to environmental conditions.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans recognize patterns in natural phenomena and use environmental cues to predict weather changes for adaptive planning
- **Principle 2:** Universal: cloud reading, wind patterns, seasonal cycles; Cultural: local weather lore, traditional prediction methods
- **Principle 3:** Connects to Temporal domain (cyclical patterns), Cognitive domain (pattern recognition), Social domain (shared weather knowledge)","- **EnvironmentalObserver** (Entity): Person monitoring and interpreting environmental conditions - **WeatherSignals** (Entity): Observable indicators of atmospheric conditions (clouds, wind, pressure changes) - **AtmosphericConditions** (State): Current state of air, temperature, humidity, and pressure - **WeatherPatterns** (State): Organized systems of atmospheric behavior - **NaturalIndicators** (Entity): Environmental signs that suggest weather development - **WeatherChanges** (Process): Transitions between different atmospheric conditions - **AdaptiveResponses** (Process): Behavioral adjustments to weather conditions",
Physical,Natural Phenomena,Geological Events and Earth System Dynamics,"In this scenario, a #GeologicalWitness experiences #EarthMovements and #GeologicalForces that manifest as #SeismicEvents, #VolcanicActivity, or #LandformChanges. The witness observes #GeologicalIndicators and understands #EarthSystemProcesses that shape the physical landscape.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans understand the Earth as a dynamic system with powerful internal forces that periodically manifest as observable events
- **Principle 2:** Universal: ground stability expectations, earthquake recognition; Cultural: geological knowledge systems, traditional earth science
- **Principle 3:** Connects to Temporal domain (geological time), Spatial domain (landscape features), Cultural domain (geological narratives)","- **GeologicalWitness** (Entity): Person experiencing or observing geological phenomena - **EarthMovements** (Process): Physical displacements of ground or rock - **GeologicalForces** (Entity): Internal earth energies driving geological change - **SeismicEvents** (Process): Earthquakes, tremors, and ground shaking - **VolcanicActivity** (Process): Eruptions, lava flows, and volcanic emissions - **LandformChanges** (Process): Alterations to topography and surface features - **GeologicalIndicators** (Entity): Signs of geological activity or instability - **EarthSystemProcesses** (Process): Large-scale dynamics driving geological phenomena",
Physical,Natural Phenomena,Astronomical Cycles and Celestial Phenomena,"In this scenario, a #SkyObserver tracks #CelestialBodies and #AstronomicalCycles to understand #SeasonalChanges, #LunarPhases, and #SolarPatterns. The observer uses #AstronomicalIndicators to determine #TemporalCycles and connect celestial movements to #EarthlyRhythms.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans recognize regular patterns in celestial movements and connect them to earthly cycles and seasonal changes
- **Principle 2:** Universal: day/night cycles, moon phases, seasonal patterns; Cultural: astronomical knowledge systems, calendar traditions
- **Principle 3:** Connects to Temporal domain (cyclical time), Cultural domain (astronomical traditions), Spatial domain (celestial navigation)","- **SkyObserver** (Entity): Person monitoring and interpreting celestial phenomena - **CelestialBodies** (Entity): Sun, moon, stars, planets, and other astronomical objects - **AstronomicalCycles** (State): Regular patterns of celestial movement and appearance - **SeasonalChanges** (Process): Cyclical alterations in weather, daylight, and environmental conditions - **LunarPhases** (State): Regular changes in moon appearance and illumination - **SolarPatterns** (State): Regular cycles of sunrise, sunset, and sun position - **AstronomicalIndicators** (Entity): Celestial signs marking time and seasonal transitions - **TemporalCycles** (State): Regular time patterns marked by celestial events - **EarthlyRhythms** (State): Terrestrial patterns synchronized with celestial cycles",
Physical,Physical Transformation,Material State Changes and Phase Transitions,"In this scenario, a #TransformationAgent applies #EnergyInputs to #TransformableMaterials, causing #StateTransitions that result in #NewMaterialStates with different #PhysicalProperties. The process involves understanding #TransformationConditions and #ReversibilityFactors that determine the nature and permanence of changes.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans understand materials as having multiple possible states that can be changed through energy application or environmental conditions
- **Principle 2:** Universal: solid/liquid/gas distinctions, heat effects; Cultural: cooking traditions, material processing techniques
- **Principle 3:** Connects to Physical domain (matter properties), Cognitive domain (causal reasoning), Cultural domain (traditional knowledge)","- **TransformationAgent** (Entity): Person or force causing material changes - **EnergyInputs** (Entity): Heat, pressure, or other forces applied to materials - **TransformableMaterials** (Entity): Substances capable of changing state or form - **StateTransitions** (Process): Changes between different material phases or conditions - **NewMaterialStates** (State): Resulting conditions after transformation - **PhysicalProperties** (Quality): Characteristics like hardness, viscosity, temperature, density - **TransformationConditions** (State): Environmental factors enabling or preventing change - **ReversibilityFactors** (Quality): Aspects determining whether changes can be undone",
Physical,Physical Transformation,Mechanical Alteration and Physical Modification,"In this scenario, a #Modifier uses #PhysicalForces and #ModificationTools to perform #MechanicalProcesses on #TargetObjects, resulting in #ShapeChanges, #SizeAlterations, or #StructuralModifications. The process requires understanding #MaterialResponses and #ForceApplications to achieve desired #TransformationOutcomes.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans understand that mechanical forces can reshape, resize, or restructure objects in predictable ways based on material properties
- **Principle 2:** Universal: force-deformation relationships, tool use; Cultural: crafting traditions, specific modification techniques
- **Principle 3:** Connects to Physical domain (object manipulation), Cognitive domain (tool reasoning), Cultural domain (craft knowledge)","- **Modifier** (Entity): Person performing mechanical alterations - **PhysicalForces** (Entity): Mechanical energy applied to objects (pushing, pulling, twisting, cutting) - **ModificationTools** (Entity): Instruments used to apply forces effectively - **MechanicalProcesses** (Process): Systematic procedures for physical alteration - **TargetObjects** (Entity): Items being modified through mechanical action - **ShapeChanges** (Process): Alterations to object form or configuration - **SizeAlterations** (Process): Changes to object dimensions or scale - **StructuralModifications** (Process): Changes to internal organization or composition - **MaterialResponses** (Quality): How substances react to applied forces - **ForceApplications** (Process): Methods of applying mechanical energy - **TransformationOutcomes** (State): Intended results of modification processes",
Physical,Physical Transformation,Chemical Reactions and Compositional Changes,"In this scenario, a #ChemicalAgent introduces #ReactiveSubstances to #BaseSubstances under specific #ReactionConditions, causing #ChemicalTransformations that produce #NewCompounds with different #ChemicalProperties. The process involves understanding #ReactionMechanisms and #TransformationIndicators.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans understand that substances can combine or decompose to create new materials with entirely different properties
- **Principle 2:** Universal: mixing produces change, irreversible reactions; Cultural: cooking chemistry, traditional reactions (fermentation, metallurgy)
- **Principle 3:** Connects to Biological domain (metabolic processes), Cognitive domain (causal understanding), Cultural domain (culinary traditions)","- **ChemicalAgent** (Entity): Person or force initiating chemical reactions - **ReactiveSubstances** (Entity): Materials that participate in chemical changes - **BaseSubstances** (Entity): Primary materials being chemically altered - **ReactionConditions** (State): Environmental factors required for chemical transformation - **ChemicalTransformations** (Process): Changes in molecular composition and bonding - **NewCompounds** (Entity): Products resulting from chemical reactions - **ChemicalProperties** (Quality): Characteristics like reactivity, acidity, toxicity, color - **ReactionMechanisms** (Process): Pathways through which chemical changes occur - **TransformationIndicators** (Entity): Observable signs of chemical change (color, heat, gas, precipitation)",
Psychological,Emotions and Affective States,Emotional Recognition and Expression,"In this scenario, an #EmotionalSubject experiences #EmotionalStates triggered by #EmotionalStimuli. The subject exhibits #EmotionalExpressions through #BodyLanguage and #VocalPatterns, which are interpreted by #SocialObservers through #EmotionalRecognition processes that may lead to #SocialResponses.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans understand emotions as internal states with external manifestations that communicate social information
- **Principle 2:** Universal: basic emotion categories, facial expressions; Cultural: emotional display rules, intensity norms
- **Principle 3:** Connects to Social domain (interpersonal communication), Biological domain (physiological responses), Cultural domain (expression norms)","- **EmotionalSubject** (Entity): Person experiencing emotional states - **EmotionalStates** (State): Internal affective conditions like joy, anger, fear, sadness - **EmotionalStimuli** (Entity): Events, objects, or situations that trigger emotions - **EmotionalExpressions** (Event/Process): Outward manifestations of internal emotional states - **BodyLanguage** (Entity): Postures, gestures, and facial expressions conveying emotion - **VocalPatterns** (Entity): Tone, pitch, and rhythm changes expressing emotion - **SocialObservers** (Entity): People interpreting others' emotional expressions - **EmotionalRecognition** (Event/Process): Identifying emotions in others through observation - **SocialResponses** (Event/Process): Behavioral reactions to perceived emotions",
Psychological,Emotions and Affective States,Emotional Regulation and Coping,"In this scenario, an #Individual experiences #IntenseEmotions that may be #Disruptive to their functioning. The Individual employs #RegulationStrategies such as #CognitiveReappraisal, #EmotionalSuppression, or #SeekingSupport to achieve #EmotionalBalance and maintain #AdaptiveFunctioning.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans can consciously modulate emotional intensity through various cognitive and behavioral strategies
- **Principle 2:** Universal: emotion regulation needs, basic strategies; Cultural: acceptable regulation methods, help-seeking patterns
- **Principle 3:** Connects to Cognitive domain (self-awareness, strategies), Social domain (support systems), Cultural domain (coping traditions)","- **Individual** (Entity): Person managing their emotional responses - **IntenseEmotions** (State): Strong affective states that may impair functioning - **Disruptive** (Quality): Characteristic of emotions that interfere with normal activities - **RegulationStrategies** (Event/Process): Techniques used to modify emotional responses - **CognitiveReappraisal** (Event/Process): Changing interpretation of emotional situations - **EmotionalSuppression** (Event/Process): Deliberately inhibiting emotional expression - **SeekingSupport** (Event/Process): Requesting help from others for emotional management - **EmotionalBalance** (State): Stable, manageable level of emotional intensity - **AdaptiveFunctioning** (State): Effective performance in daily activities despite emotions",
Psychological,Emotions and Affective States,Emotional Memory and Associations,"In this scenario, a #Person encounters #MemoryTriggers that activate #EmotionalMemories associated with #PastExperiences. This creates #EmotionalReactivation of previous feelings, which may influence current #DecisionMaking and #BehavioralChoices through #AffectiveInfluence on cognitive processes.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans store emotional associations with experiences that can be reactivated by environmental cues
- **Principle 2:** Universal: emotional memory formation, trigger responsiveness; Cultural: culturally significant emotional associations, trauma responses
- **Principle 3:** Connects to Cognitive domain (memory, decision-making), Temporal domain (past-present connections), Social domain (shared emotional meanings)",- **Person** (Entity): Individual experiencing emotional memory activation - **MemoryTriggers** (Entity): Environmental cues that activate emotional memories - **EmotionalMemories** (Entity): Stored associations between experiences and emotions - **PastExperiences** (Entity): Previous events that created emotional associations - **EmotionalReactivation** (Event/Process): Re-experiencing emotions from previous experiences - **DecisionMaking** (Event/Process): Current choice processes influenced by emotional memories - **BehavioralChoices** (Entity): Actions selected based on current decision-making - **AffectiveInfluence** (Relation): Impact of emotions on cognitive and behavioral processes,
Psychological,Needs and Drives and Motivations,Basic Need Recognition and Drive Satisfaction,"In this scenario, a #MotivatedAgent experiences #BasicNeeds and #BiologicalDrives that create #MotivationalStates directing behavior toward #NeedSatisfaction. The agent recognizes #DriveSignals and engages in #GoalDirectedBehavior to achieve #DriveReduction and restore #HomeostasisBalance.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans experience internal drives and needs that motivate behavior toward satisfaction and balance restoration
- **Principle 2:** Universal: basic biological drives, homeostatic regulation; Cultural: need interpretation, satisfaction methods
- **Principle 3:** Connects to Biological domain (physiological needs), Cognitive domain (goal-directed action), Behavioral domain (motivated action)","- **MotivatedAgent** (Entity): Person experiencing and responding to motivational forces - **BasicNeeds** (Entity): Fundamental requirements for survival and wellbeing (hunger, thirst, safety, etc.) - **BiologicalDrives** (Entity): Internal forces that energize behavior toward need satisfaction - **MotivationalStates** (State): Internal conditions that direct and energize behavior - **NeedSatisfaction** (Process): Fulfillment of basic requirements through appropriate actions - **DriveSignals** (Entity): Internal cues indicating need states and motivational pressure - **GoalDirectedBehavior** (Process): Actions specifically aimed at achieving need satisfaction - **DriveReduction** (Process): Decrease in motivational pressure following need satisfaction - **HomeostasisBalance** (State): Optimal internal conditions maintained through need satisfaction",
Psychological,Needs and Drives and Motivations,Psychological Motivations and Achievement Drives,"In this scenario, an #Achiever pursues #PsychologicalGoals driven by #AchievementMotivation and #CompetencyNeeds. The achiever engages in #SkillDevelopment and #PerformanceImprovement while seeking #Recognition and #SelfActualization through #AccomplishmentPursuit and #MasteryOrientation.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans are motivated by psychological needs for competence, achievement, and self-realization beyond basic biological drives
- **Principle 2:** Universal: competence motivation, achievement seeking; Cultural: specific achievement domains, success definitions
- **Principle 3:** Connects to Social domain (recognition seeking), Cognitive domain (skill development), Cultural domain (achievement values)","- **Achiever** (Entity): Person motivated by achievement and competency goals - **PsychologicalGoals** (Entity): Objectives related to personal growth, competence, and self-realization - **AchievementMotivation** (Entity): Drive to accomplish challenging tasks and reach standards of excellence - **CompetencyNeeds** (Entity): Requirements for feeling capable and effective - **SkillDevelopment** (Process): Improvement of abilities and expertise - **PerformanceImprovement** (Process): Enhancement of task execution and outcomes - **Recognition** (Entity): Acknowledgment and appreciation from others for achievements - **SelfActualization** (Process): Realization of personal potential and authentic self-expression - **AccomplishmentPursuit** (Process): Active efforts to achieve significant goals - **MasteryOrientation** (Quality): Focus on learning and skill development rather than just outcomes",
Psychological,Needs and Drives and Motivations,Social Motivations and Relationship Drives,"In this scenario, a #SocialSeeker is motivated by #BelongingNeeds and #RelationshipDrives to form #SocialConnections and maintain #InterpersonalBonds. The seeker engages in #SocialApproachBehavior and #RelationshipBuilding while seeking #SocialAcceptance and #EmotionalIntimacy.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans have fundamental social motivations for belonging, connection, and interpersonal relationships that drive social behavior
- **Principle 2:** Universal: belonging needs, social connection drives; Cultural: specific relationship forms, social connection methods
- **Principle 3:** Connects to Social domain (interpersonal relationships), Emotional domain (attachment), Cultural domain (social norms)",- **SocialSeeker** (Entity): Person motivated by social connection and belonging needs - **BelongingNeeds** (Entity): Fundamental requirements for social inclusion and group membership - **RelationshipDrives** (Entity): Motivational forces toward forming and maintaining interpersonal connections - **SocialConnections** (Entity): Bonds and relationships formed with other people - **InterpersonalBonds** (Relation): Emotional and social ties between individuals - **SocialApproachBehavior** (Process): Actions aimed at initiating social contact and connection - **RelationshipBuilding** (Process): Development and strengthening of interpersonal bonds - **SocialAcceptance** (Entity): Being welcomed and valued by others or groups - **EmotionalIntimacy** (State): Deep emotional connection and closeness with others,
Psychological,Perception and Sensation,Sensory Input Processing and Perceptual Organization,"In this scenario, a #Perceiver receives #SensoryStimuli through #SensoryChannels and engages in #PerceptualProcessing to organize sensory information into #PerceptualObjects and #SensoryPatterns. The perceiver uses #AttentionalFocus and #PerceptualFiltering to create #OrganizedExperience from complex #SensoryInput.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans actively organize raw sensory information into meaningful perceptual experiences through selective attention and pattern recognition
- **Principle 2:** Universal: basic sensory modalities, pattern recognition; Cultural: learned perceptual categories, attention patterns
- **Principle 3:** Connects to Cognitive domain (attention and processing), Physical domain (sensory interface), Biological domain (sensory systems)","- **Perceiver** (Entity): Person actively processing and organizing sensory information - **SensoryStimuli** (Entity): Environmental information detected by sensory organs - **SensoryChannels** (Entity): Different modalities for receiving information (vision, hearing, touch, etc.) - **PerceptualProcessing** (Process): Active organization and interpretation of sensory input - **PerceptualObjects** (Entity): Organized units of perceptual experience (objects, sounds, textures) - **SensoryPatterns** (Entity): Recurring arrangements or sequences in sensory information - **AttentionalFocus** (Process): Selective concentration on particular aspects of sensory input - **PerceptualFiltering** (Process): Screening and selection of relevant sensory information - **OrganizedExperience** (State): Coherent perceptual understanding of environmental input - **SensoryInput** (Entity): Raw information received through sensory systems",
Psychological,Perception and Sensation,Perceptual Thresholds and Sensitivity Variations,"In this scenario, a #SensoryMonitor experiences varying #PerceptualThresholds and #SensitivityLevels across different #SensoryModalities, recognizing #DetectionLimits and #DiscriminationAbilities. The monitor understands #SensoryAdaptation and #PerceptualChanges that affect #SensoryAwareness and #PerceptualAccuracy.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans have variable sensory sensitivity with thresholds that determine what can be detected and discriminated in perceptual experience
- **Principle 2:** Universal: basic threshold concepts, adaptation effects; Cultural: trained sensitivity, perceptual expertise development
- **Principle 3:** Connects to Biological domain (sensory physiology), Physical domain (stimulus properties), Cognitive domain (awareness monitoring)","- **SensoryMonitor** (Entity): Person assessing and monitoring their own sensory capabilities - **PerceptualThresholds** (Quality): Minimum levels of stimulation required for detection - **SensitivityLevels** (Quality): Degrees of responsiveness to sensory stimulation - **SensoryModalities** (Entity): Different types of sensory experience (visual, auditory, tactile, etc.) - **DetectionLimits** (Quality): Boundaries of what can be sensed or perceived - **DiscriminationAbilities** (Quality): Capacity to distinguish between similar stimuli - **SensoryAdaptation** (Process): Adjustment of sensitivity based on exposure levels - **PerceptualChanges** (Process): Alterations in sensory experience over time - **SensoryAwareness** (State): Consciousness of one's own sensory capabilities and limitations - **PerceptualAccuracy** (Quality): Precision and reliability of sensory detection and discrimination",
Psychological,Perception and Sensation,Perceptual Illusions and Interpretation Errors,"In this scenario, a #PerceptualExplorer encounters #PerceptualIllusions and #SensoryMisinterpretations where #SensoryEvidence conflicts with #ActualReality. The explorer investigates #PerceptualDistortions and #InterpretationErrors that reveal #PerceptualMechanisms and #CognitiveInfluences on sensory experience.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Human perception involves active interpretation that can create systematic errors and illusions, revealing the constructive nature of perceptual experience
- **Principle 2:** Universal: illusion susceptibility, interpretation processes; Cultural: learned perceptual expectations, interpretive frameworks
- **Principle 3:** Connects to Cognitive domain (interpretation processes), Physical domain (stimulus ambiguity), Representational domain (perceptual construction)",- **PerceptualExplorer** (Entity): Person investigating and understanding perceptual phenomena and errors - **PerceptualIllusions** (Entity): Systematic misperceptions that differ from physical reality - **SensoryMisinterpretations** (Process): Incorrect understanding of sensory information - **SensoryEvidence** (Entity): Information provided by sensory systems - **ActualReality** (Entity): Objective physical conditions independent of perception - **PerceptualDistortions** (Process): Systematic alterations in sensory experience - **InterpretationErrors** (Process): Mistakes in understanding sensory information - **PerceptualMechanisms** (Process): Underlying systems that organize sensory experience - **CognitiveInfluences** (Entity): Mental factors that affect perceptual interpretation,
Psychological,Subjective Experience of the Body and Environment,Embodied Awareness and Proprioceptive Experience,"In this scenario, an #EmbodiedExperiencer maintains #BodyAwareness through #ProprioceptiveMonitoring and #InteroceptiveSensing, experiencing #SpatialEmbodiment and #BodySchemas. The experiencer integrates #PosturalInformation and #MovementSensations to maintain #EmbodiedPresence and #SomaticAwareness.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans have continuous awareness of their body position, movement, and internal state through specialized sensory systems
- **Principle 2:** Universal: body schema, proprioceptive awareness; Cultural: body awareness practices, embodiment traditions
- **Principle 3:** Connects to Biological domain (sensory systems), Spatial domain (body position), Physical domain (movement awareness)",- **EmbodiedExperiencer** (Entity): Person with conscious awareness of their bodily experience - **BodyAwareness** (State): Conscious attention to bodily sensations and positioning - **ProprioceptiveMonitoring** (Process): Sensing body position and movement through internal receptors - **InteroceptiveSensing** (Process): Awareness of internal bodily signals and states - **SpatialEmbodiment** (State): Sense of body position and orientation in space - **BodySchemas** (Entity): Mental representations of body structure and capabilities - **PosturalInformation** (Entity): Sensory data about body position and balance - **MovementSensations** (Entity): Felt experience of bodily motion and position changes - **EmbodiedPresence** (State): Feeling of being present in and through the body - **SomaticAwareness** (State): Conscious attention to bodily sensations and feelings,
Psychological,Subjective Experience of the Body and Environment,Environmental Presence and Atmospheric Awareness,"In this scenario, an #EnvironmentalPerceiver experiences #EnvironmentalPresence and #AtmosphericQualities through #AmbientAwareness and #SpatialSensing. The perceiver attunes to #EnvironmentalMoods and #SpatialAtmospheres while developing #PlaceSense and #EnvironmentalConnection.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans experience environments as having qualitative atmospheres and moods that affect embodied presence and emotional state
- **Principle 2:** Universal: environmental sensitivity, spatial atmosphere; Cultural: place attachment, environmental aesthetics
- **Principle 3:** Connects to Spatial domain (environmental structure), Emotional domain (atmospheric mood), Cultural domain (place meaning)","- **EnvironmentalPerceiver** (Entity): Person attuned to environmental qualities and atmospheric presence - **EnvironmentalPresence** (State): Feeling of being situated within and connected to environment - **AtmosphericQualities** (Quality): Felt characteristics of environmental spaces (warm, cold, welcoming, hostile) - **AmbientAwareness** (Process): Perception of overall environmental context and mood - **SpatialSensing** (Process): Awareness of spatial relationships and environmental structure - **EnvironmentalMoods** (Quality): Emotional tones and feelings associated with places - **SpatialAtmospheres** (Quality): Qualitative characteristics of spatial environments - **PlaceSense** (State): Feeling of connection and belonging to specific locations - **EnvironmentalConnection** (Relation): Bond between person and environmental setting",
